discount_factor,learn_rate_policy,learn_rate_value,hidden_dim_policy,hidden_dim_value,init_temp,result
0.98,0.0001,0.01,128,64,1.15,29.2194666666667
0.98,0.0001,0.01,128,128,1.05,28.0138666666667
0.98,0.0001,0.01,128,128,1.1,25.7184
0.98,0.0001,0.01,128,128,1.15,29.0472
0.98,0.0001,0.01,128,256,1.05,30.1053333333333
0.98,0.0001,0.01,128,256,1.1,28.2176
0.98,0.0001,0.01,128,256,1.15,27.9322666666667
0.98,0.0001,0.01,256,64,1.05,36.0941333333333
0.98,0.0001,0.01,256,64,1.1,34.1237333333333
0.98,0.0001,0.01,256,64,1.15,32.9789333333333
0.98,0.0001,0.01,256,128,1.05,31.8781333333333
0.98,0.0001,0.01,256,128,1.1,32.8328
0.98,0.0001,0.01,256,128,1.15,30.7296
0.98,0.0001,0.01,256,256,1.05,33.7984
0.98,0.0001,0.01,256,256,1.1,32.5765333333333
0.98,0.0001,0.01,256,256,1.15,35.4677333333333
0.98,0.0001,0.001,64,64,1.05,24.32
0.98,0.0001,0.001,64,64,1.1,23.2832
0.98,0.0001,0.001,64,64,1.15,24.6138666666667
0.98,0.0001,0.001,64,128,1.05,25.8757333333333
0.98,0.0001,0.001,64,128,1.1,24.3013333333333
0.98,0.0001,0.001,64,128,1.15,23.8917333333333
0.98,0.0001,0.001,64,256,1.05,26.1117333333333
0.98,0.0001,0.001,64,256,1.1,25.2328
0.98,0.0001,0.001,64,256,1.15,23.7317333333333
0.98,0.0001,0.001,128,64,1.05,28.6744
0.98,0.0001,0.001,128,64,1.1,26.6968
0.98,0.0001,0.001,128,64,1.15,28.5818666666667
0.98,0.0001,0.001,128,128,1.05,29.7786666666667
0.98,0.0001,0.001,128,128,1.1,27.5258666666667
0.98,0.0001,0.001,128,128,1.15,29.3677333333333
0.98,0.0001,0.001,128,256,1.05,28.7853333333333
0.98,0.0001,0.001,128,256,1.1,27.7042666666667
0.98,0.0001,0.001,128,256,1.15,29.9853333333333
0.98,0.0001,0.001,256,64,1.05,36.1098666666667
0.98,0.0001,0.001,256,64,1.1,35.3341333333333
0.98,0.0001,0.001,256,64,1.15,35.3685333333333
0.98,0.0001,0.001,256,128,1.05,36.2632
0.98,0.0001,0.001,256,128,1.1,32.9818666666667
0.98,0.0001,0.001,256,128,1.15,36.5832
0.98,0.0001,0.001,256,256,1.05,37.8261333333333
0.98,0.0001,0.001,256,256,1.1,35.5149333333333
0.98,0.0001,0.001,256,256,1.15,34.9808
0.98,0.0001,0.0001,64,64,1.05,24.72
0.98,0.0001,0.0001,64,64,1.1,25.4674666666667
0.98,0.0001,0.0001,64,64,1.15,24.8578666666667
0.98,0.0001,0.0001,64,128,1.05,22.7168
0.98,0.0001,0.0001,64,128,1.1,23.4757333333333
0.98,0.0001,0.0001,64,128,1.15,24.1482666666667
0.98,0.0001,0.0001,64,256,1.05,24.5797333333333
0.98,0.0001,0.0001,64,256,1.1,25.9874666666667
0.98,0.0001,0.0001,64,256,1.15,26.1802666666667
0.98,0.0001,0.0001,128,64,1.05,25.7184
0.98,0.0001,0.0001,128,64,1.1,27.8397333333333
0.98,0.0001,0.0001,128,64,1.15,27.4802666666667
0.98,0.0001,0.0001,128,128,1.05,27.6466666666667
0.98,0.0001,0.0001,128,128,1.1,26.8354666666667
0.98,0.0001,0.0001,128,128,1.15,28.8410666666667
0.98,0.0001,0.0001,128,256,1.05,26.2213333333333
0.98,0.0001,0.0001,128,256,1.1,27.456
0.98,0.0001,0.0001,128,256,1.15,26.7541333333333
0.98,0.0001,0.0001,256,64,1.05,34.3216
0.98,0.0001,0.0001,256,64,1.1,33.796
0.98,0.0001,0.0001,256,64,1.15,34.0445333333333
0.98,0.0001,0.0001,256,128,1.05,32.0261333333333
0.98,0.0001,0.0001,256,128,1.1,33.3082666666667
0.98,0.0001,0.0001,256,128,1.15,31.9877333333333
0.98,0.0001,0.0001,256,256,1.05,34.2853333333333
0.98,0.0001,0.0001,256,256,1.1,33.0666666666667
0.98,0.0001,0.0001,256,256,1.15,33.1357333333333
0.985,0.01,0.01,64,64,1.05,155.507733333333
0.985,0.01,0.01,64,64,1.1,165.443466666667
0.985,0.01,0.01,64,64,1.15,149.626133333333
0.985,0.01,0.01,64,128,1.05,165.176
0.985,0.01,0.01,64,128,1.1,152.144
0.985,0.01,0.01,64,128,1.15,137.186933333333
0.985,0.01,0.01,64,256,1.05,156.658933333333
0.985,0.01,0.01,64,256,1.1,135.441066666667
0.985,0.01,0.01,64,256,1.15,157.324266666667
0.985,0.01,0.01,128,64,1.05,90.4184
0.985,0.01,0.01,128,64,1.1,118.377066666667
0.985,0.01,0.01,128,64,1.15,119.285066666667
0.985,0.01,0.01,128,128,1.05,112.2728
0.985,0.01,0.01,128,128,1.1,94.4506666666667
0.985,0.01,0.01,128,128,1.15,147.6456
0.985,0.01,0.01,128,256,1.05,129.228266666667
0.985,0.01,0.01,128,256,1.1,147.0928
0.985,0.01,0.01,128,256,1.15,158.144
0.985,0.01,0.01,256,64,1.05,65.2133333333333
0.985,0.01,0.01,256,64,1.1,108.2336
0.985,0.01,0.01,256,64,1.15,61.9461333333333
0.985,0.01,0.01,256,128,1.05,60.1597333333333
0.985,0.01,0.01,256,128,1.1,41.7573333333333
0.985,0.01,0.01,256,128,1.15,97.0573333333333
0.985,0.01,0.01,256,256,1.05,85.4704
0.985,0.01,0.01,256,256,1.1,82.0984
0.985,0.01,0.01,256,256,1.15,131.619466666667
0.985,0.01,0.001,64,64,1.05,121.173333333333
0.985,0.01,0.001,64,64,1.1,134.1024
0.985,0.01,0.001,64,64,1.15,134.537333333333
0.985,0.01,0.001,64,128,1.05,117.872266666667
0.985,0.01,0.001,64,128,1.1,139.721066666667
0.985,0.01,0.001,64,128,1.15,121.120533333333
0.985,0.01,0.001,64,256,1.05,113.302933333333
0.985,0.01,0.001,64,256,1.1,155.652533333333
0.985,0.01,0.001,64,256,1.15,140.8936
0.985,0.01,0.001,128,64,1.05,109.2696
0.985,0.01,0.001,128,64,1.1,96.52
0.985,0.01,0.001,128,64,1.15,93.8328
0.985,0.01,0.001,128,128,1.05,108.744533333333
0.985,0.01,0.001,128,128,1.1,122.066133333333
0.985,0.01,0.001,128,128,1.15,98.5426666666667
0.985,0.01,0.001,128,256,1.05,127.022666666667
0.985,0.01,0.001,128,256,1.1,99.0938666666667
0.985,0.01,0.001,128,256,1.15,89.2386666666667
0.985,0.01,0.001,256,64,1.05,92.4778666666667
0.985,0.01,0.001,256,64,1.1,52.3893333333333
0.985,0.01,0.001,256,64,1.15,112.347466666667
0.985,0.01,0.001,256,128,1.05,57.5866666666667
0.985,0.01,0.001,256,128,1.1,92.3282666666667
0.985,0.01,0.001,256,128,1.15,112.462933333333
0.985,0.01,0.001,256,256,1.05,102.0368
0.985,0.01,0.001,256,256,1.1,93.1874666666667
0.985,0.01,0.001,256,256,1.15,133.7512
0.985,0.01,0.0001,64,64,1.05,102.741866666667
0.985,0.01,0.0001,64,64,1.1,112.906666666667
0.985,0.01,0.0001,64,64,1.15,120.550133333333
0.985,0.01,0.0001,64,128,1.05,132.071466666667
0.985,0.01,0.0001,64,128,1.1,89.5970666666667
0.985,0.01,0.0001,64,128,1.15,112.0552
0.985,0.01,0.0001,64,256,1.05,119.995733333333
0.985,0.01,0.0001,64,256,1.1,136.725333333333
0.985,0.01,0.0001,64,256,1.15,118.235466666667
0.985,0.01,0.0001,128,64,1.05,60.4888
0.985,0.01,0.0001,128,64,1.1,63.4589333333333
0.985,0.01,0.0001,128,64,1.15,99.8016
0.985,0.01,0.0001,128,128,1.05,53.1992
0.985,0.01,0.0001,128,128,1.1,68.8917333333333
0.985,0.01,0.0001,128,128,1.15,80.98
0.985,0.01,0.0001,128,256,1.05,73.7221333333333
0.985,0.01,0.0001,128,256,1.1,102.410666666667
0.985,0.01,0.0001,128,256,1.15,104.8736
0.985,0.01,0.0001,256,64,1.05,61.9130666666667
0.985,0.01,0.0001,256,64,1.1,43.5194666666667
0.985,0.01,0.0001,256,64,1.15,54.6722666666667
0.985,0.01,0.0001,256,128,1.05,40.4173333333333
0.985,0.01,0.0001,256,128,1.1,40.9813333333333
0.985,0.01,0.0001,256,128,1.15,49.0133333333333
0.985,0.01,0.0001,256,256,1.05,45.9205333333333
0.985,0.01,0.0001,256,256,1.1,83.8325333333333
0.985,0.01,0.0001,256,256,1.15,47.1794666666667
0.985,0.001,0.01,64,64,1.05,95.2458666666667
0.985,0.001,0.01,64,64,1.1,103.446133333333
0.985,0.001,0.01,64,64,1.15,109.056266666667
0.985,0.001,0.01,64,128,1.05,109.877333333333
0.985,0.001,0.01,64,128,1.1,100.080266666667
0.985,0.001,0.01,64,128,1.15,98.8104
0.985,0.001,0.01,64,256,1.05,112.2248
0.985,0.001,0.01,64,256,1.1,109.821333333333
0.985,0.001,0.01,64,256,1.15,111.450133333333
0.985,0.001,0.01,128,64,1.05,128.0824
0.985,0.001,0.01,128,64,1.1,127.700266666667
0.985,0.001,0.01,128,64,1.15,127.9624
0.985,0.001,0.01,128,128,1.05,129.790666666667
0.985,0.001,0.01,128,128,1.1,130.009866666667
0.985,0.001,0.01,128,128,1.15,134.3984
0.985,0.001,0.01,128,256,1.05,126.370666666667
0.985,0.001,0.01,128,256,1.1,121.176533333333
0.985,0.001,0.01,128,256,1.15,118.8624
0.985,0.001,0.01,256,64,1.05,147.198933333333
0.985,0.001,0.01,256,64,1.1,150.685066666667
0.985,0.001,0.01,256,64,1.15,147.107466666667
0.985,0.001,0.01,256,128,1.05,143.318666666667
0.985,0.001,0.01,256,128,1.1,137.5672
0.985,0.001,0.01,256,128,1.15,145.256
0.985,0.001,0.01,256,256,1.05,143.045866666667
0.985,0.001,0.01,256,256,1.1,141.361066666667
0.985,0.001,0.01,256,256,1.15,148.382133333333
0.985,0.001,0.001,64,64,1.05,96.0746666666667
0.985,0.001,0.001,64,64,1.1,100.767733333333
0.985,0.001,0.001,64,64,1.15,96.416
0.985,0.001,0.001,64,128,1.05,101.514666666667
0.985,0.001,0.001,64,128,1.1,106.292533333333
0.985,0.001,0.001,64,128,1.15,103.7768
0.985,0.001,0.001,64,256,1.05,112.157333333333
0.985,0.001,0.001,64,256,1.1,104.847466666667
0.985,0.001,0.001,64,256,1.15,112.724533333333
0.985,0.001,0.001,128,64,1.05,123.465333333333
0.985,0.001,0.001,128,64,1.1,118.672
0.985,0.001,0.001,128,64,1.15,119.5256
0.985,0.001,0.001,128,128,1.05,122.4352
0.985,0.001,0.001,128,128,1.1,122.4896
0.985,0.001,0.001,128,128,1.15,123.022666666667
0.985,0.001,0.001,128,256,1.05,126.7808
0.985,0.001,0.001,128,256,1.1,121.756533333333
0.985,0.001,0.001,128,256,1.15,129.146133333333
0.985,0.001,0.001,256,64,1.05,134.487466666667
0.985,0.001,0.001,256,64,1.1,136.902666666667
0.985,0.001,0.001,256,64,1.15,136.275733333333
0.985,0.001,0.001,256,128,1.05,141.437066666667
0.985,0.001,0.001,256,128,1.1,135.8848
0.985,0.001,0.001,256,128,1.15,135.885866666667
0.985,0.001,0.001,256,256,1.05,139.466933333333
0.985,0.001,0.001,256,256,1.1,143.8272
0.985,0.001,0.001,256,256,1.15,140.038933333333
0.985,0.001,0.0001,64,64,1.05,81.3250666666667
0.985,0.001,0.0001,64,64,1.1,84.8973333333333
0.985,0.001,0.0001,64,64,1.15,86.4725333333333
0.985,0.001,0.0001,64,128,1.05,82.9866666666667
0.985,0.001,0.0001,64,128,1.1,90.5885333333333
0.985,0.001,0.0001,64,128,1.15,91.5274666666667
0.985,0.001,0.0001,64,256,1.05,92.5786666666667
0.985,0.001,0.0001,64,256,1.1,84.7741333333333
0.985,0.001,0.0001,64,256,1.15,79.5314666666667
0.985,0.001,0.0001,128,64,1.05,105.720533333333
0.985,0.001,0.0001,128,64,1.1,112.378933333333
0.985,0.001,0.0001,128,64,1.15,112.296533333333
0.985,0.001,0.0001,128,128,1.05,108.977333333333
0.985,0.001,0.0001,128,128,1.1,110.311466666667
0.985,0.001,0.0001,128,128,1.15,110.418133333333
0.985,0.001,0.0001,128,256,1.05,110.1904
0.985,0.001,0.0001,128,256,1.1,113.088533333333
0.985,0.001,0.0001,128,256,1.15,112.402933333333
0.985,0.001,0.0001,256,64,1.05,128.106666666667
0.985,0.001,0.0001,256,64,1.1,128.8736
0.985,0.001,0.0001,256,64,1.15,129.720533333333
0.985,0.001,0.0001,256,128,1.05,115.602133333333
0.985,0.001,0.0001,256,128,1.1,129.265066666667
0.985,0.001,0.0001,256,128,1.15,127.4816
0.985,0.001,0.0001,256,256,1.05,126.401066666667
0.985,0.001,0.0001,256,256,1.1,129.5848
0.985,0.001,0.0001,256,256,1.15,126.620266666667
0.985,0.0001,0.01,64,64,1.05,26.6610666666667
0.985,0.0001,0.01,64,64,1.1,24.0253333333333
0.985,0.0001,0.01,64,64,1.15,25.0845333333333
0.985,0.0001,0.01,64,128,1.05,25.0834666666667
0.985,0.0001,0.01,64,128,1.1,24.0157333333333
0.985,0.0001,0.01,64,128,1.15,23.9605333333333
0.985,0.0001,0.01,64,256,1.05,25.1016
0.985,0.0001,0.01,64,256,1.1,26.0810666666667
0.985,0.0001,0.01,64,256,1.15,24.7944
0.985,0.0001,0.01,128,64,1.05,25.8632
0.985,0.0001,0.01,128,64,1.1,28.696
0.985,0.0001,0.01,128,64,1.15,29.0781333333333
0.985,0.0001,0.01,128,128,1.05,27.6589333333333
0.985,0.0001,0.01,128,128,1.1,27.0029333333333
0.985,0.0001,0.01,128,128,1.15,27.8656
0.985,0.0001,0.01,128,256,1.05,28.1138666666667
0.985,0.0001,0.01,128,256,1.1,28.4266666666667
0.985,0.0001,0.01,128,256,1.15,28.4824
0.985,0.0001,0.01,256,64,1.05,34.1416
0.985,0.0001,0.01,256,64,1.1,35.2944
0.985,0.0001,0.01,256,64,1.15,33.2317333333333
0.985,0.0001,0.01,256,128,1.05,34.4930666666667
0.985,0.0001,0.01,256,128,1.1,33.6485333333333
0.985,0.0001,0.01,256,128,1.15,35.42
0.985,0.0001,0.01,256,256,1.05,34.2325333333333
0.985,0.0001,0.01,256,256,1.1,35.1170666666667
0.985,0.0001,0.01,256,256,1.15,35.8442666666667
0.985,0.0001,0.001,64,64,1.05,25.8738666666667
0.985,0.0001,0.001,64,64,1.1,26.9928
0.985,0.0001,0.001,64,64,1.15,23.9216
0.985,0.0001,0.001,64,128,1.05,25.1661333333333
0.985,0.0001,0.001,64,128,1.1,23.3669333333333
0.985,0.0001,0.001,64,128,1.15,26.2837333333333
0.985,0.0001,0.001,64,256,1.05,22.6853333333333
0.985,0.0001,0.001,64,256,1.1,24.8685333333333
0.985,0.0001,0.001,64,256,1.15,24.9101333333333
0.985,0.0001,0.001,128,64,1.05,26.0613333333333
0.985,0.0001,0.001,128,64,1.1,27.5464
0.985,0.0001,0.001,128,64,1.15,28.1048
0.985,0.0001,0.001,128,128,1.05,27.3365333333333
0.985,0.0001,0.001,128,128,1.1,30.9176
0.985,0.0001,0.001,128,128,1.15,27.5552
0.985,0.0001,0.001,128,256,1.05,25.9581333333333
0.985,0.0001,0.001,128,256,1.1,27.0474666666667
0.985,0.0001,0.001,128,256,1.15,26.8429333333333
0.985,0.0001,0.001,256,64,1.05,35.5592
0.985,0.0001,0.001,256,64,1.1,34.6445333333333
0.985,0.0001,0.001,256,64,1.15,34.5213333333333
0.985,0.0001,0.001,256,128,1.05,36.8784
0.985,0.0001,0.001,256,128,1.1,36.2672
0.985,0.0001,0.001,256,128,1.15,36.1706666666667
